household_id,district,sub_region,lat,lon,hh_size,head_female,land_holding_ha,grows_maize,grows_beans,grows_banana,grows_cassava,maize_area_ha,maize_yield_mt_ha,maize_production_kg,annual_rain_mm_2018,season1_rain_mm_2018,season2_rain_mm_2018,mean_temp_c_2018,rain_3yr_avg_mm
MUB-026,mubende,S Buganda,0.59,31.37,8,1,1.66,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-027,mubende,S Buganda,0.59,31.37,6,0,1.04,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-028,mubende,S Buganda,0.59,31.37,5,1,0.46,1,0,1,0,0.37,2.06,763.2,1192.0,408.6,408.1,21.06,1317.1
MUB-029,mubende,S Buganda,0.59,31.37,5,0,1.02,0,1,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-030,mubende,S Buganda,0.59,31.37,2,1,0.58,1,1,1,1,0.45,2.7,1217.2,1192.0,408.6,408.1,21.06,1317.1
MUB-031,mubende,S Buganda,0.59,31.37,4,0,0.55,1,0,0,1,0.55,2.41,1324.5,1192.0,408.6,408.1,21.06,1317.1
MUB-032,mubende,S Buganda,0.59,31.37,5,1,1.03,0,1,1,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-033,mubende,S Buganda,0.59,31.37,3,0,0.51,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-034,mubende,S Buganda,0.59,31.37,5,0,2.62,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-035,mubende,S Buganda,0.59,31.37,2,1,2.32,1,0,0,0,0.58,2.35,1362.2,1192.0,408.6,408.1,21.06,1317.1
MUB-036,mubende,S Buganda,0.59,31.37,4,1,0.76,1,1,0,0,0.34,2.85,967.8,1192.0,408.6,408.1,21.06,1317.1
MUB-037,mubende,S Buganda,0.59,31.37,4,0,2.1,0,0,0,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-038,mubende,S Buganda,0.59,31.37,5,0,0.56,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-039,mubende,S Buganda,0.59,31.37,6,0,1.88,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-040,mubende,S Buganda,0.59,31.37,1,1,0.48,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-041,mubende,S Buganda,0.59,31.37,3,0,2.22,0,0,0,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-042,mubende,S Buganda,0.59,31.37,5,0,1.66,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-043,mubende,S Buganda,0.59,31.37,7,0,0.75,1,0,1,0,0.48,1.54,739.8,1192.0,408.6,408.1,21.06,1317.1
MUB-044,mubende,S Buganda,0.59,31.37,4,1,0.97,1,0,0,0,0.43,1.6,687.8,1192.0,408.6,408.1,21.06,1317.1
MUB-045,mubende,S Buganda,0.59,31.37,2,0,2.16,1,1,0,1,0.47,3.02,1421.2,1192.0,408.6,408.1,21.06,1317.1
MUB-046,mubende,S Buganda,0.59,31.37,3,0,1.01,0,0,0,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-047,mubende,S Buganda,0.59,31.37,5,0,4.06,1,1,0,0,0.54,1.1,596.6,1192.0,408.6,408.1,21.06,1317.1
MUB-048,mubende,S Buganda,0.59,31.37,5,0,0.86,0,1,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-049,mubende,S Buganda,0.59,31.37,1,0,1.03,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-050,mubende,S Buganda,0.59,31.37,5,1,1.96,1,1,0,1,0.53,1.94,1025.9,1192.0,408.6,408.1,21.06,1317.1
MUB-051,mubende,S Buganda,0.59,31.37,3,0,1.12,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-052,mubende,S Buganda,0.59,31.37,3,1,0.52,1,0,1,1,0.52,2.8,1458.1,1192.0,408.6,408.1,21.06,1317.1
MUB-053,mubende,S Buganda,0.59,31.37,2,0,0.72,1,0,1,1,0.34,2.13,723.7,1192.0,408.6,408.1,21.06,1317.1
MUB-054,mubende,S Buganda,0.59,31.37,3,0,2.01,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-055,mubende,S Buganda,0.59,31.37,4,0,0.72,0,1,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-056,mubende,S Buganda,0.59,31.37,2,1,0.66,0,1,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-057,mubende,S Buganda,0.59,31.37,4,0,2.81,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-058,mubende,S Buganda,0.59,31.37,2,0,1.72,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-059,mubende,S Buganda,0.59,31.37,6,0,0.46,1,1,1,1,0.46,2.32,1067.0,1192.0,408.6,408.1,21.06,1317.1
MUB-060,mubende,S Buganda,0.59,31.37,1,1,0.92,1,0,1,0,0.62,2.32,1436.8,1192.0,408.6,408.1,21.06,1317.1
MUB-061,mubende,S Buganda,0.59,31.37,3,0,0.38,0,0,0,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-062,mubende,S Buganda,0.59,31.37,1,1,1.28,1,1,0,0,0.8,2.79,2232.3,1192.0,408.6,408.1,21.06,1317.1
MUB-063,mubende,S Buganda,0.59,31.37,4,0,1.68,1,0,0,0,0.77,3.44,2645.2,1192.0,408.6,408.1,21.06,1317.1
MUB-064,mubende,S Buganda,0.59,31.37,3,0,1.66,1,1,0,0,0.52,2.63,1368.5,1192.0,408.6,408.1,21.06,1317.1
MUB-065,mubende,S Buganda,0.59,31.37,4,0,0.67,1,1,1,0,0.26,1.28,332.1,1192.0,408.6,408.1,21.06,1317.1
MUB-066,mubende,S Buganda,0.59,31.37,4,0,0.89,1,1,0,1,0.7,2.79,1949.6,1192.0,408.6,408.1,21.06,1317.1
MUB-067,mubende,S Buganda,0.59,31.37,3,1,1.95,1,0,1,0,1.01,3.11,3145.6,1192.0,408.6,408.1,21.06,1317.1
MUB-068,mubende,S Buganda,0.59,31.37,5,1,0.98,0,0,1,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-069,mubende,S Buganda,0.59,31.37,3,0,0.57,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-070,mubende,S Buganda,0.59,31.37,7,1,1.64,1,0,1,0,0.57,1.86,1061.3,1192.0,408.6,408.1,21.06,1317.1
MUB-071,mubende,S Buganda,0.59,31.37,4,0,1.48,1,0,0,1,0.44,2.15,946.5,1192.0,408.6,408.1,21.06,1317.1
MUB-072,mubende,S Buganda,0.59,31.37,1,0,0.86,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-073,mubende,S Buganda,0.59,31.37,4,0,0.58,1,0,0,0,0.34,2.81,954.0,1192.0,408.6,408.1,21.06,1317.1
MUB-074,mubende,S Buganda,0.59,31.37,5,0,2.12,0,1,0,1,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-075,mubende,S Buganda,0.59,31.37,1,1,1.94,0,0,1,0,0.0,,0.0,1192.0,408.6,408.1,21.06,1317.1
MUB-076,mubende,S Buganda,0.59,31.37,3,0,1.77,1,1,1,0,0.95,1.69,1605.4,1192.0,408.6,408.1,21.06,1317.1
MUB-077,mubende,S Buganda,0.59,31.37,7,0,0.58,1,0,0,1,0.27,1.19,321.8,1192.0,408.6,408.1,21.06,1317.1
MUB-078,mubende,S Buganda,0.59,31.37,3,1,0.73,1,1,1,0,0.57,1.43,817.5,1192.0,408.6,408.1,21.06,1317.1
MUB-079,mubende,S Buganda,0.59,31.37,3,0,0.63,1,0,0,1,0.54,2.12,1142.5,1192.0,408.6,408.1,21.06,1317.1
MUB-080,mubende,S Buganda,0.59,31.37,4,1,0.73,1,1,1,0,0.73,2.36,1721.7,1192.0,408.6,408.1,21.06,1317.1
